work id,Title,Date Issued,Creator,Creator,Creator,Contributor,Contributor,Publisher,Publisher,Genre,Genre,Genre,Genre,Genre,Genre
pk02c9724,"Bill Scott, Forest Ranger (Second Series): ""Old Mac Donald Had Some Woods"". Episode 1.  Platter 1, Side B. Program 3.",1948,Texas A&M Forest Service.,,,United States. Department of Agriculture.,,University of Texas at Austin. School of Information.,Texas A & M University. Libraries,,,,,,
d791sg16q,"Jelly Elliott & the Three Knotheads in ""Fire's Cutting the Legs Off the Watertable""",1950,"Elliott, Jelly",Three Knotheads,Texas A & M Forest Service,United States. Department of Agriculture.,U.S. Advertising Council,University of Texas at Austin. School of Information.,,Folk music,Country music,Hillbilly music,Radio public service announcements,Sound,Music
